name	url	sku	priority
Автотовары. Масла и жидкости. Тормозные жидкости	https://www.wildberries.ru/catalog/avtotovary/masla-i-zhidkosti/tormoznye-zhidkosti	0	1
Автотовары. Масла и жидкости. Трансмиссионное масло	https://www.wildberries.ru/catalog/avtotovary/masla-i-zhidkosti/transmissionnoe-maslo	0	3
Автотовары. Мойки высокого давления и аксессуары	https://www.wildberries.ru/catalog/dom/dachniy-sezon/moyki-vysokogo-davleniya-i-aksessuary	0	1
Автотовары. Мототовары. Детали корпуса	https://www.wildberries.ru/catalog/avtotovary/mototovary/detali-korpusa	0	1
Автотовары. Мототовары. Другие детали	https://www.wildberries.ru/catalog/avtotovary/mototovary/drugie-detali	0	4
Автотовары. Мототовары. Запчасти для двигателя	https://www.wildberries.ru/catalog/avtotovary/mototovary/zapchasti-dlya-dvigatelya	0	3
Автотовары. Мототовары. Мотоэкипировка	https://www.wildberries.ru/catalog/avtotovary/mototovary/motoekipirovka	0	1
Автотовары. Мототовары. Тормозная система	https://www.wildberries.ru/catalog/avtotovary/mototovary/tormoznaya-sistema	0	3
Автотовары. Мототовары. Ходовая часть	https://www.wildberries.ru/catalog/avtotovary/mototovary/hodovaya-chast	0	4
Автотовары. Мототовары. Электрооборудование	https://www.wildberries.ru/catalog/avtotovary/mototovary/elektrooborudovanie	0	3
Автотовары. Шины и диски колесные. Датчики давления	https://www.wildberries.ru/catalog/avtotovary/shiny-i-diski/datchiki-davleniya	0	2
Автотовары. Шины и диски колесные. Диски	https://www.wildberries.ru/catalog/avtotovary/shiny-i-diski/diski	0	1
Автотовары. Шины и диски колесные. Камеры	https://www.wildberries.ru/catalog/avtotovary/shiny-i-diski/kamery	0	4
Автотовары. Шины и диски колесные. Колпаки	https://www.wildberries.ru/catalog/avtotovary/shiny-i-diski/kolpaki	0	3
Автотовары. Шины и диски колесные. Комплектующие	https://www.wildberries.ru/catalog/avtotovary/shiny-i-diski/komplektuyushchie	0	3
Автотовары. Шины и диски колесные. Чехлы	https://www.wildberries.ru/catalog/avtotovary/shiny-i-diski/chekxly	0	1
Автотовары. Шины и диски колесные. Шины	https://www.wildberries.ru/catalog/avtotovary/shiny-i-diski/shiny	0	3
Аксессуары. Аксессуары для волос	https://www.wildberries.ru/catalog/aksessuary/aksessuary-dlya-volos	0	2
Аксессуары. Аксессуары для одежды	https://www.wildberries.ru/catalog/aksessuary/dekor-dlya-odezhdy	0	1
Аксессуары. Бижутерия. Аксессуары для бижутерии	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/aksessuary-dlya-bizhuterii	0	2
Аксессуары. Бижутерия. Браслеты	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/braslety	0	3
Аксессуары. Бижутерия. Брелоки	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/breloki	0	4
Аксессуары. Бижутерия. Броши	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/broshi	0	2
Аксессуары. Бижутерия. Булавки для воротника	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/bulavki-dlya-vorotnika	0	1
Аксессуары. Бижутерия. Бусы	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/busy	0	3
Аксессуары. Бижутерия. Бутоньерки	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/butonerki	0	2
Аксессуары. Бижутерия. Зажимы	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/zazhimy	0	1
Аксессуары. Бижутерия. Запонки	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/zaponki	0	1
Аксессуары. Бижутерия. Значки	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/znachki	0	4
Аксессуары. Бижутерия. Колье	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/kole	0	2
Аксессуары. Бижутерия. Кольца	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/koltsa	0	3
Аксессуары. Бижутерия. Комплекты	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/komplekty	0	2
Аксессуары. Бижутерия. Пирсинг	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/pirsing	0	4
Аксессуары. Бижутерия. Подвески	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/podveski	0	1
Аксессуары. Бижутерия. Серьги	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/sergi	0	2
Аксессуары. Бижутерия. Цепочки	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/tsepochki	0	1
Аксессуары. Бижутерия. Четки	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/chetki	0	1
Аксессуары. Бижутерия. Чокеры	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/chokery	0	1
Аксессуары. Бижутерия. Шармы	https://www.wildberries.ru/catalog/aksessuary/bizhuteriya/sharmy	0	2
Аксессуары. Веера	https://www.wildberries.ru/catalog/aksessuary/veera	0	1
Аксессуары. Галстуки и бабочки	https://www.wildberries.ru/catalog/aksessuary/galstuki-i-babochki	0	3
Аксессуары. Головные уборы	https://www.wildberries.ru/catalog/aksessuary/golovnye-ubory	0	1
Аксессуары. Зеркальца	https://www.wildberries.ru/catalog/aksessuary/zerkaltsa	0	1
Аксессуары. Зонты	https://www.wildberries.ru/catalog/aksessuary/zonty	0	3
Аксессуары. Кошельки и кредитницы	https://www.wildberries.ru/catalog/aksessuary/koshelki-i-kreditnitsy	0	3
Аксессуары. Маски для сна	https://www.wildberries.ru/catalog/aksessuary/maski-dlya-sna	0	1
Аксессуары. Носовые платки	https://www.wildberries.ru/catalog/aksessuary/nosovye-platki	0	4
Аксессуары. Очки и футляры. Аксессуары для очков	https://www.wildberries.ru/catalog/aksessuary/ochki-i-futlyary/aksessuary-dlya-ochkov	0	3
Аксессуары. Очки и футляры. Имиджевые очки	https://www.wildberries.ru/catalog/aksessuary/ochki-i-futlyary/imidzhevye-ochki	0	2
